"codigo_manzana","prc_nmer03","prc_nmer04","prc_nmer05","prc_nmer06","prc_nmer07","prc_nmer08","prc_nmer09","prc_nmer10","prc_nmer11","prc_nmer12","prc_nmer13","prc_nmer14","prc_nmer15","prc_nmer16","prc_nmer17"
"7600110000000002200218","0","5.263157894736842","0","10.526315789473683","5.263157894736842","0","4.3478260869565215","4.3478260869565215","0","4.3478260869565215","4.545454545454546","4.545454545454546","0","9.090909090909092","0"
"7600110000000002090416","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0"
"7600110000000002120204","5.555555555555555","0","0","5.555555555555555","5.555555555555555","0","9.523809523809524","14.285714285714285","4.761904761904762","0","0","5.555555555555555","0","0","5.555555555555555"
"7600110000000002030145","18.181818181818183","9.090909090909092","18.181818181818183","18.181818181818183","9.090909090909092","8.333333333333332","0","0","8.333333333333332","8.333333333333332","0","0","0","0","15.384615384615385"
"7600110000000002060227","3.7037037037037033","2.4691358024691357","2.4691358024691357","1.2345679012345678","4.938271604938271","8.064516129032258","3.225806451612903","3.225806451612903","4.838709677419355","3.225806451612903","5.88235294117647","7.8431372549019605","0","5.88235294117647","5.88235294117647"
"7600110000000002170114","4.166666666666666","0","8.333333333333332","4.166666666666666","4.166666666666666","0","0","0","0","3.8461538461538463","0","8.695652173913043","8.695652173913043","0","4.3478260869565215"
"7600110000000002210208","4.166666666666666","4.166666666666666","0","4.166666666666666","4.166666666666666","10","0","5","0","0","0","5.88235294117647","0","0","5.88235294117647"
"7600110000000002060210","7.6923076923076925","0","0","0","15.384615384615385","6.25","0","0","6.25","0","0","0","5.263157894736842","0","5.263157894736842"
"7600110000000002040115","0","5.263157894736842","5.263157894736842","0","0","7.142857142857142","7.142857142857142","7.142857142857142","0","0","0","0","0","0","0"
"7600110000000002090405","0","0","0","0","16.666666666666664","0","0","0","0","14.285714285714285","0","0","0","0","0"
"7600110000000002080301","0","0","0","0","0","0","0","12.5","0","0","0","0","0","0","0"
"7600110000000002110315","6.25","0","6.25","12.5","0","12.5","0","6.25","0","0","0","0","0","15.384615384615385","15.384615384615385"
"7600110000000002060216","0","6.25","6.25","0","6.25","3.3333333333333335","0","3.3333333333333335","0","0","0","0","0","0","0"
"7600110000000002210106","10.526315789473683","5.263157894736842","0","0","10.526315789473683","0","4.545454545454546","0","0","0","8","4","0","4","8"
"7600110000000002030109","1.639344262295082","0","1.639344262295082","1.639344262295082","3.278688524590164","3.7735849056603774","1.8867924528301887","5.660377358490567","1.8867924528301887","0","4.651162790697675","2.3255813953488373","2.3255813953488373","4.651162790697675","0"
"7600110000000002230113","3.278688524590164","3.278688524590164","8.19672131147541","3.278688524590164","9.836065573770492","8.695652173913043","4.3478260869565215","4.3478260869565215","1.4492753623188406","7.246376811594203","0","5.47945205479452","9.58904109589041","2.73972602739726","4.10958904109589"
"7600110000000002220417","0","0","0","6.666666666666667","6.666666666666667","0","0","0","0","0","0","0","13.333333333333334","6.666666666666667","0"
"7600110000000002060110","0","0","0","0","0","0","0","0","12.5","0","0","0","0","0","0"
"7600110000000002120205","0","0","0","11.11111111111111","5.555555555555555","6.666666666666667","6.666666666666667","6.666666666666667","0","0","7.142857142857142","14.285714285714285","0","7.142857142857142","0"
"7600110000000002130206","10","10","0","10","0","0","0","12.5","0","12.5","0","0","0","0","0"
"7600110000000002200110","3.3707865168539324","2.247191011235955","5.617977528089887","2.247191011235955","7.865168539325842","6.315789473684211","3.1578947368421053","4.2105263157894735","6.315789473684211","1.0526315789473684","1.0869565217391304","4.3478260869565215","7.608695652173914","0","4.3478260869565215"
"7600110000000002010214","2.941176470588235","5.88235294117647","0","2.941176470588235","0","3.3333333333333335","13.333333333333334","0","3.3333333333333335","3.3333333333333335","7.6923076923076925","3.8461538461538463","0","3.8461538461538463","7.6923076923076925"
