manzanac,,pred2024,pred2024_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,1,1.00986668,1,1,1,1,1,1,1,0,3,2,1,0,0,1,1,0,0,1,0,1,4,1,4,2,2,2,4,0,3
7.60E+21,,2,2.084285714,2,2,2,2,2,3,4,0,7,4,1,1,6,4,3,6,7,2,5,2,3,3,3,5,5,3,1,4,3
7.60E+21,,1,1.387142857,1,2,2,2,2,2,3,1,3,3,2,3,2,4,3,8,5,3,4,7,2,4,4,2,3,0,5,1,1
7.60E+21,,6,6.298571429,6,6,7,6,8,7,7,14,12,10,9,18,13,11,8,10,14,10,4,13,8,7,12,10,11,12,10,10,5
7.60E+21,,0,0.378690051,0,1,0,0,0,0,1,0,1,1,2,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,0
7.60E+21,,0,0.132424568,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
7.60E+21,,0,0.066784974,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
7.60E+21,,2,2.4475,3,2,3,3,3,3,6,1,4,5,1,3,2,3,8,5,5,4,4,4,5,6,7,4,6,5,11,5,5
7.60E+21,,0,0.276374238,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,2,1,1,1,1,0,0,0,2,1,1,0
7.60E+21,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,0,0.201052902,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
7.60E+21,,0,0.060455702,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1
7.60E+21,,0,0.157474417,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1
7.60E+21,,0,0.325306836,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,2,0,1,2,0,1,0,1
7.60E+21,,0,0.279262252,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,1,3,2
7.60E+21,,0,0.113672057,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,2,0,0
7.60E+21,,0,0.446994849,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,2,0,3,2,2,2,1,1,0
7.60E+21,,0,0.464769128,0,1,0,0,1,1,1,0,1,0,0,0,0,2,0,2,0,2,3,0,0,1,1,1,0,0,1,2,1
7.60E+21,,1,0.590525065,1,0,1,1,1,1,0,0,0,2,0,1,1,0,0,0,1,0,0,1,2,0,0,3,2,1,2,1,4
7.60E+21,,1,0.535023734,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,4,0,2,1,1,1,1,2,1,2,2,3,3
7.60E+21,,0,0.302935983,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,1,1,0
7.60E+21,,2,1.927142857,2,2,2,2,2,3,1,3,4,3,1,2,3,2,0,1,7,1,1,4,3,8,1,6,7,2,1,0,6
7.60E+21,,0,0.309666815,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,1,2,1,0,0,2,3,1,2,1,1,0
7.60E+21,,1,0.831876412,1,1,1,1,1,1,1,1,1,0,0,3,1,1,0,0,1,0,0,1,2,0,1,1,0,1,1,4,0
7.60E+21,,0,0.479201342,0,0,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,3,2,0,2,3,2,1,2,1,1
7.60E+21,,0,0.129872232,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,1
7.60E+21,,0,0.151979551,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,1
7.60E+21,,1,0.555330796,1,1,1,1,1,1,0,1,2,0,0,2,0,0,1,0,3,1,0,0,0,0,0,1,0,1,2,2,1
7.60E+21,,1,0.780104023,1,1,1,1,1,1,2,2,1,0,4,1,2,2,0,1,0,0,0,1,0,1,0,0,2,0,1,1,2
7.60E+21,,0,0.320057,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,1,1,1,0,1,0,2,3,1
7.60E+21,,1,0.529830793,1,0,1,1,1,1,1,0,0,1,0,0,1,3,2,0,1,1,0,0,1,1,0,2,2,0,2,0,1
7.60E+21,,1,1.15904195,1,1,1,1,1,1,4,1,2,2,1,2,2,1,3,2,2,2,1,4,1,2,9,2,4,1,3,4,1
7.60E+21,,1,0.617532344,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,1,0,0,2,0,2,1,0,0,0,3,1,0
7.60E+21,,1,1.401428571,2,2,2,2,2,2,1,3,2,5,4,3,5,3,1,4,8,5,4,2,1,6,2,2,5,2,4,1,5
7.60E+21,,0,0.146074991,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0
7.60E+21,,1,1.268357143,2,2,1,1,2,2,3,2,5,2,4,2,3,5,3,4,3,1,2,1,4,5,1,0,0,1,3,1,1
7.60E+21,,0,0.224828914,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,1,2,1,0,2
7.60E+21,,1,0.613783548,1,0,1,1,1,1,1,0,0,1,2,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,5
7.60E+21,,2,1.55952381,2,2,2,2,2,3,1,3,6,3,2,2,2,7,3,4,6,7,3,2,1,4,5,9,3,3,5,3,6
7.60E+21,,1,0.612767985,1,1,1,1,1,1,1,0,0,1,1,0,2,0,2,1,0,0,1,1,1,0,2,1,2,2,0,4,1
7.60E+21,,1,0.696067763,1,1,1,1,1,1,0,1,0,1,0,1,0,3,3,0,0,0,1,1,1,0,2,2,2,3,2,4,1
7.60E+21,,0,0.293195499,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,1,1,0,1,2,1,3
7.60E+21,,1,0.667528345,1,1,1,1,1,1,1,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,2,0,2,3,3,3,5
7.60E+21,,2,2.15,2,2,2,2,2,3,2,4,8,4,5,3,1,2,6,3,2,0,2,5,3,3,3,3,3,1,3,5,2
7.60E+21,,2,2.112857143,2,2,2,3,2,3,4,1,2,3,4,3,4,5,5,5,6,4,7,4,6,4,1,6,2,4,4,4,6
7.60E+21,,1,0.7500361,1,1,1,1,1,1,0,2,0,0,4,0,1,0,1,1,3,1,2,0,3,2,1,0,3,3,1,2,2
7.60E+21,,0,0.410133267,0,0,0,0,0,1,0,2,1,0,2,0,1,0,0,1,0,1,1,0,1,1,1,2,1,1,3,0,0
7.60E+21,,0,0.145136043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,2
7.60E+21,,1,1.092531633,1,1,1,1,1,1,4,0,0,1,1,2,1,1,1,3,3,4,2,2,2,2,3,0,3,1,4,4,4
7.60E+21,,0,0.200754307,0,0,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1
7.60E+21,,0,0.164653317,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0
