manzanac,,pred2030,pred2030_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,1,0.641176078,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,2,1,0,0,1,1,0,0,1,0,1,4,1,4
7.60E+21,,2,1.645776398,2,2,2,1,2,2,2,2,2,2,2,3,4,0,7,4,1,1,6,4,3,6,7,2,5,2,3,3,3
7.60E+21,,2,1.835572316,2,2,2,2,1,1,1,2,2,2,2,2,3,1,3,3,2,3,2,4,3,8,5,3,4,7,2,4,4
7.60E+21,,5,5.067142857,6,5,6,5,6,6,6,6,7,6,8,7,7,14,12,10,9,18,13,11,8,10,14,10,4,13,8,7,12
7.60E+21,,0,0.11094452,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,1,1,0,1,1,0,1,0,0,1,0,0
7.60E+21,,0,0.009702964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
7.60E+21,,0,0.034776396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7.60E+21,,2,2.07,2,2,2,3,3,2,3,2,3,3,3,3,6,1,4,5,1,3,2,3,8,5,5,4,4,4,5,6,7
7.60E+21,,0,0.149003574,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,2,1,1,1,1,0
7.60E+21,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,0,0.044369035,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,0,0.089707367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0
7.60E+21,,0,0.032085075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7.60E+21,,0,0.287638286,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,2,0
7.60E+21,,0,0.095427982,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
7.60E+21,,0,0.083072715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1
7.60E+21,,0,0.184921749,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,2,0,3
7.60E+21,,0,0.251370589,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,2,0,2,0,2,3,0,0,1,1
7.60E+21,,1,0.52442696,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,2,0,1,1,0,0,0,1,0,0,1,2,0,0
7.60E+21,,1,0.503415896,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,4,0,2,1,1,1,1
7.60E+21,,0,0.077979097,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
7.60E+21,,1,1.46863354,1,2,2,1,2,2,2,2,2,2,2,3,1,3,4,3,1,2,3,2,0,1,7,1,1,4,3,8,1
7.60E+21,,0,0.23126881,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,1,2,1,0,0,2
7.60E+21,,1,0.650503161,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3,1,1,0,0,1,0,0,1,2,0,1
7.60E+21,,0,0.466057838,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,3,2,0,2
7.60E+21,,0,0.073459745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0
