manzanac,rte,pred2019,pred2019_dec,pred2018,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,0,0.289509209,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,1,1,0,1,2,1,3,3,3,1,1,1
7.60E+21,,1,0.876394558,1,1,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,2,0,2,3,3,3,5,4,2,2,6,3
7.60E+21,,2,2.215714286,3,2,4,8,4,5,3,1,2,6,3,2,0,2,5,3,3,3,3,3,1,3,5,2,4,7,6,5,3
7.60E+21,,2,2.285714286,3,4,1,2,3,4,3,4,5,5,5,6,4,7,4,6,4,1,6,2,4,4,4,6,4,6,2,10,2
7.60E+21,,1,1.172753863,1,0,2,0,0,4,0,1,0,1,1,3,1,2,0,3,2,1,0,3,3,1,2,2,4,2,1,2,2
7.60E+21,,0,0.402570971,1,0,2,1,0,2,0,1,0,0,1,0,1,1,0,1,1,1,2,1,1,3,0,0,1,0,0,1,0
7.60E+21,,0,0.044624419,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0
7.60E+21,,1,1.432857143,1,4,0,0,1,1,2,1,1,1,3,3,4,2,2,2,2,3,0,3,1,4,4,4,6,2,1,5,2
7.60E+21,,0,0.440927237,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,3,2,1,0
7.60E+21,,0,0.44072137,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,2,0,0
7.60E+21,,3,3.382857143,4,2,4,6,2,7,6,4,8,7,5,5,6,5,6,6,5,9,5,5,6,7,5,7,6,7,6,2,4
7.60E+21,,1,0.819097622,1,0,1,0,3,0,2,2,2,1,1,1,0,2,1,1,2,1,2,1,3,1,4,2,2,2,0,2,0
7.60E+21,,0,0.212620374,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,1
7.60E+21,,0,0.120185379,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0
7.60E+21,,3,3.352857143,3,4,4,4,1,5,6,6,4,7,5,4,4,8,4,1,3,5,4,6,4,5,7,7,3,4,5,8,11
7.60E+21,,0,0.165818236,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,2,0,0,0
7.60E+21,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,0,0.194091557,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0
7.60E+21,,1,1.1171916,1,0,1,3,3,1,1,2,1,0,1,1,2,2,1,2,4,0,2,2,2,1,3,3,4,3,5,2,2
7.60E+21,,0,0.23638009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,0,2,2,0
7.60E+21,,0,0.356510585,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,2,1,0,0,0,0,2,0,0,0,1
7.60E+21,,0,0.074754783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1
7.60E+21,,1,0.622808418,0,0,1,0,2,1,0,0,1,1,1,1,2,0,0,0,1,1,1,1,1,0,1,1,2,3,1,2,3
7.60E+21,,1,1.016857143,1,1,1,1,0,3,0,1,1,0,2,0,1,2,1,1,1,2,0,1,0,0,2,3,2,3,5,2,5
7.60E+21,,1,1.240690976,1,4,1,2,1,2,2,1,2,0,1,0,2,2,0,3,0,1,1,2,4,1,2,2,2,4,4,0,0
7.60E+21,,10,10.30857143,11,15,17,14,16,11,6,7,13,14,15,13,10,9,10,6,12,11,8,3,11,4,8,4,10,10,5,8,17
7.60E+21,,0,0.329077218,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,2,1,0,0,0,4,0,0
7.60E+21,,2,2.41,2,3,5,1,2,0,1,1,0,4,2,1,4,4,1,1,3,6,7,3,7,6,3,4,5,7,7,4,3
7.60E+21,,2,2.00047619,2,2,2,2,2,6,3,2,3,0,6,2,5,2,0,2,1,3,2,1,4,6,5,1,4,4,5,5,3
7.60E+21,,0,0.242955384,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,3,1,1,1,3,3,1,1,2,1
7.60E+21,,1,1.32,1,0,2,1,0,1,2,4,0,3,6,0,3,4,4,3,7,2,2,5,5,2,1,3,2,3,1,0,2
7.60E+21,,0,0.185402787,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0
7.60E+21,,0,0.26266438,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,1,2,0,2,0,0,0
7.60E+21,,0,0.397829285,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,2,3,0,1,1,1,0,1,1,1,0
7.60E+21,,6,6.041428571,7,11,7,10,3,5,9,9,8,12,13,9,13,15,11,12,11,10,14,7,8,7,11,14,15,11,9,6,7
7.60E+21,,0,0.495387705,1,3,1,0,0,1,1,1,0,1,1,1,0,0,1,2,0,1,2,2,0,2,0,1,1,2,3,1,2
7.60E+21,,1,0.901783333,1,0,2,0,1,2,2,1,3,1,1,0,2,0,1,1,1,2,4,2,1,0,0,0,2,0,0,1,0
7.60E+21,,0,0.441379522,1,1,1,0,0,0,0,1,2,1,0,1,0,0,1,2,0,1,1,2,1,1,1,1,0,0,1,0,0
7.60E+21,,0,0.444434744,1,2,1,0,2,0,0,0,0,0,2,1,1,1,0,1,0,0,0,1,1,3,1,2,2,0,1,0,1
7.60E+21,,1,0.809495463,1,1,0,1,0,0,1,1,2,0,1,0,3,2,3,1,0,3,2,1,1,2,1,0,0,1,0,2,0
7.60E+21,,1,0.572842324,0,0,0,0,0,1,0,2,0,1,1,2,1,0,1,0,4,0,2,1,3,2,0,0,0,1,1,2,1
7.60E+21,,1,0.690913249,1,0,1,0,1,2,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,4,2,5,1,3,1
7.60E+21,,2,1.704285714,2,1,4,4,3,4,2,3,3,1,1,3,3,6,1,4,3,3,3,4,1,0,1,2,2,0,0,3,1
7.60E+21,,1,0.689000271,0,0,0,0,0,1,1,0,1,0,0,1,1,2,0,0,2,0,0,1,0,1,3,1,1,0,3,0,1
7.60E+21,,1,1.029293091,1,0,1,1,1,0,2,2,5,1,2,4,2,0,2,1,4,1,1,1,3,4,4,1,1,3,1,3,3
7.60E+21,,1,0.5835707,1,1,2,1,0,2,0,1,1,0,1,0,0,1,2,1,2,1,1,1,1,2,0,1,2,1,2,1,0
7.60E+21,,0,0.162821009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
7.60E+21,,2,1.508571429,2,3,3,2,0,3,1,0,1,0,4,2,0,3,0,0,0,1,1,0,6,2,3,4,3,2,7,1,5
7.60E+21,,3,2.561428571,2,1,2,3,3,6,4,0,5,1,4,6,3,6,6,2,8,8,1,4,3,4,4,1,7,4,1,7,5
7.60E+21,,1,0.819294399,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,3,1,3,1
7.60E+21,,0,0.488723521,1,0,0,0,1,0,0,0,1,0,2,1,2,1,0,1,2,0,4,3,0,0,0,0,0,0,1,2,0
7.60E+21,,0,0.248842678,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,3,1,1,0,1,0,1,1,2,0,1
7.60E+21,,0,0.495523778,0,0,1,0,0,2,0,0,0,0,0,1,4,0,0,0,1,0,3,2,1,1,0,4,2,0,0,0,0
7.60E+21,,0,0.457013144,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,2,1,0,0,3,1,0,2,1
7.60E+21,,0,0.297878975,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,1,3,0,1,0,0,1,0,2,0,2,0,2,0
7.60E+21,,1,0.573315561,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,4,0,0,0,2,5,0,0,0
7.60E+21,,0,0.402813231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,1,2,0,3,1
7.60E+21,,1,0.703601353,1,0,2,0,2,1,0,1,2,1,0,1,3,3,0,2,2,0,1,3,2,1,2,3,1,3,2,1,2
7.60E+21,,0,0.258666806,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,3,0,0,0,0,1
7.60E+21,,0,0.329609454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,3,0,0,2,0,0
7.60E+21,,1,0.994910581,1,2,1,0,3,1,0,1,1,2,1,2,0,0,0,7,1,2,4,2,3,2,4,1,3,1,3,2,5
7.60E+21,,1,0.607966567,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,2,1,1,1,1,1,0,0,4,1,2,3,1
7.60E+21,,0,0.462205752,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,2,0,1,4,1,2,1,1,2,1,1,0
7.60E+21,,1,0.69532129,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,2,4,3,3,4,1,2,3,1,1
7.60E+21,,1,0.721666667,1,1,3,2,0,0,2,1,1,0,2,1,3,0,1,1,0,0,0,3,1,0,2,3,3,1,1,3,2
7.60E+21,,0,0.42902563,1,0,0,0,0,0,1,1,0,0,3,0,2,2,0,1,0,2,1,2,1,2,0,1,0,0,0,1,0
