manzanac,,,pred2031,pred2031_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,,1,0.664480894,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,3,3,0,0,0,1,1,1,0
7.60E+21,,,0,0.298856425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2
7.60E+21,,,1,0.610611021,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0
7.60E+21,,,1,1.057409051,1,2,1,1,1,2,2,2,2,2,2,2,3,2,4,8,4,5,3,1,2,6,3,2,0,2,5,3,3
7.60E+21,,,2,1.934642857,2,2,2,2,2,2,2,2,2,2,3,2,3,4,1,2,3,4,3,4,5,5,5,6,4,7,4,6,4
7.60E+21,,,1,0.82872619,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,4,0,1,0,1,1,3,1,2,0,3,2
7.60E+21,,,0,0.201144158,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,2,0,1,0,0,1,0,1,1,0,1,1
7.60E+21,,,0,0.005139119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7.60E+21,,,1,1.159763962,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,0,1,1,2,1,1,1,3,3,4,2,2,2,2
7.60E+21,,,0,0.074458977,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
7.60E+21,,,0,0.090041241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0
7.60E+21,,,2,2.28,3,2,3,2,3,3,3,3,3,3,3,3,4,2,4,6,2,7,6,4,8,7,5,5,6,5,6,6,5
7.60E+21,,,1,0.740410103,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,3,0,2,2,2,1,1,1,0,2,1,1,2
7.60E+21,,,0,0.083743802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
7.60E+21,,,0,0.039209909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
7.60E+21,,,2,2.034642857,2,2,2,2,2,3,2,2,2,3,3,3,3,4,4,4,1,5,6,6,4,7,5,4,4,8,4,1,3
7.60E+21,,,0,0.091036732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
7.60E+21,,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,,0,0.041107216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
7.60E+21,,,1,0.670014965,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3,3,1,1,2,1,0,1,1,2,2,1,2,4
7.60E+21,,,0,0.005518615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,,0,0.059338135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1
7.60E+21,,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,,0,0.240115541,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,2,1,0,0,1,1,1,1,2,0,0,0,1
7.60E+21,,,1,0.589472781,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,0,1,1,0,2,0,1,2,1,1,1
7.60E+21,,,1,0.823708699,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,2,2,1,2,0,1,0,2,2,0,3,0
7.60E+21,,,6,6.231428571,5,5,5,6,7,7,6,6,6,7,8,10,11,15,17,14,16,11,6,7,13,14,15,13,10,9,10,6,12
7.60E+21,,,0,0.172048981,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
7.60E+21,,,1,1.435952381,2,2,1,2,2,2,2,2,2,2,2,2,2,3,5,1,2,0,1,1,0,4,2,1,4,4,1,1,3
7.60E+21,,,1,1.05672567,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,6,3,2,3,0,6,2,5,2,0,2,1
7.60E+21,,,0,0.18086971,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
7.60E+21,,,1,1.223185081,1,1,1,2,1,1,1,1,1,1,1,1,1,0,2,1,0,1,2,4,0,3,6,0,3,4,4,3,7
7.60E+21,,,0,0.043228276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
7.60E+21,,,0,0.059890462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
7.60E+21,,,0,0.049051937,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
7.60E+21,,,5,5.051428571,5,5,5,5,5,6,5,6,6,5,6,6,7,11,7,10,3,5,9,9,8,12,13,9,13,15,11,12,11
7.60E+21,,,1,0.736312542,1,1,1,1,1,1,1,1,1,1,1,0,1,3,1,0,0,1,1,1,0,1,1,1,0,0,1,2,0
7.60E+21,,,1,0.79974381,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,1,2,2,1,3,1,1,0,2,0,1,1,1
7.60E+21,,,0,0.403906419,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,1,0,1,0,0,1,2,0
7.60E+21,,,1,0.688502792,1,0,1,1,1,1,1,1,1,1,1,0,1,2,1,0,2,0,0,0,0,0,2,1,1,1,0,1,0
7.60E+21,,,1,0.825773411,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,2,0,1,0,3,2,3,1,0
7.60E+21,,,0,0.338738015,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,2,0,1,1,2,1,0,1,0,4
7.60E+21,,,0,0.221333326,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,2,0,0,0,0,0,1,0,0,1,0,1
7.60E+21,,,1,1.260305383,1,1,1,1,1,1,1,2,1,2,2,2,2,1,4,4,3,4,2,3,3,1,1,3,3,6,1,4,3
7.60E+21,,,0,0.311676116,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,2,0,0,2
7.60E+21,,,1,0.836617796,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2,2,5,1,2,4,2,0,2,1,4
7.60E+21,,,1,0.583749581,1,0,1,1,1,1,1,1,1,0,1,1,1,1,2,1,0,2,0,1,1,0,1,0,0,1,2,1,2
7.60E+21,,,0,0.031916198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7.60E+21,,,1,0.761837121,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,2,0,3,1,0,1,0,4,2,0,3,0,0,0
7.60E+21,,,2,1.82297619,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,3,3,6,4,0,5,1,4,6,3,6,6,2,8
7.60E+21,,,0,0.089203754,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0
7.60E+21,,,0,0.298104242,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,1,2,1,0,1,2
7.60E+21,,,0,0.061631502,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
7.60E+21,,,1,0.539243401,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1,4,0,0,0,1
7.60E+21,,,0,0.044366355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
7.60E+21,,,0,0.227964065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,1,3
7.60E+21,,,0,0.19119193,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0
7.60E+21,,,0,0.29028573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7.60E+21,,,1,0.715514199,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,2,1,0,1,2,1,0,1,3,3,0,2,2
7.60E+21,,,0,0.094457736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
7.60E+21,,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,,1,0.863905276,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,3,1,0,1,1,2,1,2,0,0,0,7,1
7.60E+21,,,0,0.211982822,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,2
7.60E+21,,,0,0.120490691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1
7.60E+21,,,0,0.454335715,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
7.60E+21,,,1,0.629927295,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,0,0,2,1,1,0,2,1,3,0,1,1,0
