manzanac,,pred2028,pred2028_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,1,0.928011524,1,1,1,1,1,1,1,1,1,1,1,0,3,2,1,0,0,1,1,0,0,1,0,1,4,1,4,2,2
7.60E+21,,2,1.807142857,2,1,2,2,2,2,2,2,2,3,4,0,7,4,1,1,6,4,3,6,7,2,5,2,3,3,3,5,5
7.60E+21,,2,1.655714286,2,2,1,1,1,2,2,2,2,2,3,1,3,3,2,3,2,4,3,8,5,3,4,7,2,4,4,2,3
7.60E+21,,5,5.444285714,6,5,6,6,6,6,7,6,8,7,7,14,12,10,9,18,13,11,8,10,14,10,4,13,8,7,12,10,11
7.60E+21,,0,0.253733267,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,1,1,0,1,1,0,1,0,0,1,0,0,0,0
7.60E+21,,0,0.074498411,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7.60E+21,,0,0.08523671,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
7.60E+21,,2,2.4,2,3,3,2,3,2,3,3,3,3,6,1,4,5,1,3,2,3,8,5,5,4,4,4,5,6,7,4,6
7.60E+21,,0,0.174549119,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,2,1,1,1,1,0,0,0
7.60E+21,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,0,0.053354304,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,0,0.084392223,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
7.60E+21,,0,0.069960005,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
7.60E+21,,0,0.462794231,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,2,0,1,2
7.60E+21,,0,0.172526531,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2
7.60E+21,,0,0.121187257,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,1
7.60E+21,,0,0.280868204,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,2,0,3,2,2
7.60E+21,,1,0.505952256,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,2,0,2,0,2,3,0,0,1,1,1,0
7.60E+21,,1,0.640490497,1,1,0,1,1,0,1,1,1,1,0,0,0,2,0,1,1,0,0,0,1,0,0,1,2,0,0,3,2
