manzanac,rte,pred2023,pred2023_dec,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ed9,ed10,ed11,ed12,ed13,ed14,ed15,ed16,ed17,ed18,ed19,ed20,ed21,ed22,ed23,ed24,ed25,ed26,ed27,ed28,ed29,ed30
7.60E+21,,1,0.89792517,1,1,1,1,1,1,0,3,2,1,0,0,1,1,0,0,1,0,1,4,1,4,2,2,2,4,0,3,0
7.60E+21,,2,1.7,2,2,2,2,3,4,0,7,4,1,1,6,4,3,6,7,2,5,2,3,3,3,5,5,3,1,4,3,2
7.60E+21,,1,1.438571429,2,2,2,2,2,3,1,3,3,2,3,2,4,3,8,5,3,4,7,2,4,4,2,3,0,5,1,1,5
7.60E+21,,6,6.475714286,6,7,6,8,7,7,14,12,10,9,18,13,11,8,10,14,10,4,13,8,7,12,10,11,12,10,10,5,13
7.60E+21,,0,0.387196832,1,0,0,0,0,1,0,1,1,2,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0
7.60E+21,,0,0.215481313,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1
7.60E+21,,0,0.158454202,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
7.60E+21,,3,2.787142857,2,3,3,3,3,6,1,4,5,1,3,2,3,8,5,5,4,4,4,5,6,7,4,6,5,11,5,5,3
7.60E+21,,0,0.40650964,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,2,1,1,1,1,0,0,0,2,1,1,0,2
7.60E+21,,0,0.00137728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60E+21,,0,0.183753299,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
7.60E+21,,0,0.150552906,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1,0
7.60E+21,,0,0.109453918,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,0
7.60E+21,,0,0.499097926,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,2,0,1,2,0,1,0,1,3
7.60E+21,,0,0.255935702,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,1,3,2,2
7.60E+21,,0,0.094555568,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,2,0,0,0
7.60E+21,,0,0.300570385,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,2,0,3,2,2,2,1,1,0,0
7.60E+21,,0,0.435379344,1,0,0,1,1,1,0,1,0,0,0,0,2,0,2,0,2,3,0,0,1,1,1,0,0,1,2,1,0
7.60E+21,,1,0.515019515,0,1,1,1,1,0,0,0,2,0,1,1,0,0,0,1,0,0,1,2,0,0,3,2,1,2,1,4,1
7.60E+21,,1,0.649138366,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,4,0,2,1,1,1,1,2,1,2,2,3,3,1
7.60E+21,,0,0.244012097,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,1,1,0,1
7.60E+21,,2,1.787142857,2,2,2,2,3,1,3,4,3,1,2,3,2,0,1,7,1,1,4,3,8,1,6,7,2,1,0,6,6
7.60E+21,,0,0.476185969,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,1,2,1,0,0,2,3,1,2,1,1,0,0
7.60E+21,,1,0.621504918,1,1,1,1,1,1,1,1,0,0,3,1,1,0,0,1,0,0,1,2,0,1,1,0,1,1,4,0,1
7.60E+21,,0,0.371956959,0,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,3,2,0,2,3,2,1,2,1,1,0
7.60E+21,,0,0.157857883,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,1,2
7.60E+21,,0,0.254324957,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,1,0
7.60E+21,,1,0.725255768,1,1,1,1,1,0,1,2,0,0,2,0,0,1,0,3,1,0,0,0,0,0,1,0,1,2,2,1,4
7.60E+21,,1,0.767234223,1,1,1,1,1,2,2,1,0,4,1,2,2,0,1,0,0,0,1,0,1,0,0,2,0,1,1,2,2
7.60E+21,,0,0.371838525,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,1,1,1,0,1,0,2,3,1,2
7.60E+21,,1,0.654781593,0,1,1,1,1,1,0,0,1,0,0,1,3,2,0,1,1,0,0,1,1,0,2,2,0,2,0,1,0
7.60E+21,,1,1.169238386,1,1,1,1,1,4,1,2,2,1,2,2,1,3,2,2,2,1,4,1,2,9,2,4,1,3,4,1,4
7.60E+21,,0,0.454105412,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,1,0,0,2,0,2,1,0,0,0,3,1,0,0
7.60E+21,,2,1.747142857,2,2,2,2,2,1,3,2,5,4,3,5,3,1,4,8,5,4,2,1,6,2,2,5,2,4,1,5,3
7.60E+21,,0,0.193354167,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1
7.60E+21,,2,1.557142857,2,1,1,2,2,3,2,5,2,4,2,3,5,3,4,3,1,2,1,4,5,1,0,0,1,3,1,1,1
7.60E+21,,0,0.34416111,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,1,2,1,0,2,3
7.60E+21,,1,0.874612245,0,1,1,1,1,1,0,0,1,2,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,5,0
7.60E+21,,2,1.902857143,2,2,2,2,3,1,3,6,3,2,2,2,7,3,4,6,7,3,2,1,4,5,9,3,3,5,3,6,4
7.60E+21,,1,0.653969145,1,1,1,1,1,1,0,0,1,1,0,2,0,2,1,0,0,1,1,1,0,2,1,2,2,0,4,1,5
7.60E+21,,1,0.923548483,1,1,1,1,1,0,1,0,1,0,1,0,3,3,0,0,0,1,1,1,0,2,2,2,3,2,4,1,5
